protein	ionm	id	mz	mzcorr	intensity	cls	headgroup1	rtmean	rtms2	rtlow	rtup	headgroup	lyso	pref	carb	unsat	fa1p	fa1c	fa1u	fa2p	fa2c	fa2u	fa3p	fa3c	fa3u	fullhgroup	mhgroup	uhgroup	hgcc	cc	hgfa	ccfa	screen	domain	lit
OSBPL9	pos	6	526.3896	526.3896	320000	III.2	unknown	3.73	3.7286733	3.39	3.92	Cer		d	23.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	NA	NA	Cer(23:0)	23:0	NA	NA	E	OSBP	False
OSBPL9	pos	6	526.3896	526.3896	320000	III.2	unknown	3.73	3.7286733	3.39	3.92	PA		O	23.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	PA-O	NA	NA-O	NA-O(23:0)	23:0	NA	NA	E	OSBP	False
OSBPL9	pos	7	766.5594	766.5594	180000	I	PG(16:0/18:1)	7.82	7.8086807	7.5	8.07	PG			34.0	1.0		16.0	0.0		18.0	1.0		NaN	NaN	PG	PG	PG	PG(34:1)	34:1	PG(16:0/18:1)	16:0/18:1	E	OSBP	False
OSBPL9	pos	8	764.5443	764.5443	170000	I	PG(16:1/18:1)	6.73	6.7477893	6.41	7.16	PG			34.0	2.0		16.0	1.0		18.0	1.0		NaN	NaN	PG	PG	PG	PG(34:2)	34:2	PG(16:1/18:1)	16:1/18:1	E	OSBP	False
OSBPL9	pos	9	411.2892	411.2892	130000	III.2	unknown	3.63	3.6385961	3.3	3.77	PA	Lyso	O	17.0	0.0	O	17.0	0.0		NaN	NaN		NaN	NaN	LysoPA-O	NA	NA-O	NA-O(17:0)	17:0	NA-O(17:0)	17:0	E	OSBP	False
OSBPL9	pos	10	766.5338	766.5338	110000	III.2	unknown	9.16	9.1217297	9.0	9.8	PC			35.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	NA	NA	PC(35:5)	35:5	NA	NA	E	OSBP	False
OSBPL9	pos	10	766.5338	766.5338	110000	III.2	unknown	9.16	9.1217297	9.0	9.8	PE			38.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	PE	NA	NA	PE(38:5)	38:5	NA	NA	E	OSBP	False
OSBPL9	pos	10	766.5338	766.5338	110000	III.2	unknown	9.16	9.1217297	9.0	9.8	PA			40.0	6.0		NaN	NaN		NaN	NaN		NaN	NaN	PA	NA	NA	PA(40:6)	40:6	NA	NA	E	OSBP	False
OSBPL9	pos	10	766.5338	766.5338	110000	III.2	unknown	9.16	9.1217297	9.0	9.8	PE			36.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PE	NA	NA	PE(36:2)	36:2	NA	NA	E	OSBP	False
OSBPL9	pos	10	766.5338	766.5338	110000	III.2	unknown	9.16	9.1217297	9.0	9.8	PC			33.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	NA	NA	PC(33:2)	33:2	NA	NA	E	OSBP	False
OSBPL9	pos	11	688.4924	688.4924	100000	I	PE(16:1/16:1)	6.63	6.6321828	6.36	6.94	PE			32.0	2.0		16.0	1.0		16.0	1.0		NaN	NaN	PE	PE	PE	PE(32:2)	32:2	PE(16:1/16:1)	16:1/16:1	E	OSBP	False
OSBPL9	pos	12	363.2528	363.2528	84000	III.5	unknown	3.35	3.2884791	2.98	3.58	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	E	OSBP	False
OSBPL9	pos	13	778.5597	778.5597	67000	I	PG(17:1/18:1)	7.47	7.5330253	7.19	7.77	PG			35.0	2.0		17.0	1.0		18.0	1.0		NaN	NaN	PG	PG	PG	PG(35:2)	35:2	PG(17:1/18:1)	17:1/18:1	E	OSBP	False
OSBPL9	pos	14	738.5275	738.5275	66000	I	PG(16:0/16:1)	6.57	6.511894	5.98	6.9	PG			32.0	1.0		16.0	0.0		16.0	1.0		NaN	NaN	PG	PG	PG	PG(32:1)	32:1	PG(16:0/16:1)	16:0/16:1	E	OSBP	False
OSBPL9	pos	15	738.5039	738.5039	63000	III.2	unknown	7.86	7.801165999999999	7.65	8.41	PE			36.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	PE	NA	NA	PE(36:5)	36:5	NA	NA	E	OSBP	False
OSBPL9	pos	15	738.5039	738.5039	63000	III.2	unknown	7.86	7.801165999999999	7.65	8.41	PC			33.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	NA	NA	PC(33:5)	33:5	NA	NA	E	OSBP	False
OSBPL9	pos	15	738.5039	738.5039	63000	III.2	unknown	7.86	7.801165999999999	7.65	8.41	PA			38.0	6.0		NaN	NaN		NaN	NaN		NaN	NaN	PA	NA	NA	PA(38:6)	38:6	NA	NA	E	OSBP	False
OSBPL9	pos	15	738.5039	738.5039	63000	III.2	unknown	7.86	7.801165999999999	7.65	8.41	PE			34.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PE	NA	NA	PE(34:2)	34:2	NA	NA	E	OSBP	False
OSBPL9	pos	15	738.5039	738.5039	63000	III.2	unknown	7.86	7.801165999999999	7.65	8.41	PC			31.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	NA	NA	PC(31:2)	31:2	NA	NA	E	OSBP	False
OSBPL9	pos	16	752.5438	752.5438	61000	I	PG(16:0/17:1)	7.35	7.4062418	7.06	7.6	PG			33.0	1.0		16.0	0.0		17.0	1.0		NaN	NaN	PG	PG	PG	PG(33:1)	33:1	PG(16:0/17:1)	16:0/17:1	E	OSBP	False
OSBPL9	pos	17	788.516	788.516	51000	III.2	unknown	9.2	9.161329700000001	8.99	9.52	PE			40.0	8.0		NaN	NaN		NaN	NaN		NaN	NaN	PE	NA	NA	PE(40:8)	40:8	NA	NA	E	OSBP	False
OSBPL9	pos	17	788.516	788.516	51000	III.2	unknown	9.2	9.161329700000001	8.99	9.52	PA			42.0	9.0		NaN	NaN		NaN	NaN		NaN	NaN	PA	NA	NA	PA(42:9)	42:9	NA	NA	E	OSBP	False
OSBPL9	pos	17	788.516	788.516	51000	III.2	unknown	9.2	9.161329700000001	8.99	9.52	PC			35.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	NA	NA	PC(35:5)	35:5	NA	NA	E	OSBP	False
OSBPL9	pos	17	788.516	788.516	51000	III.2	unknown	9.2	9.161329700000001	8.99	9.52	PE			38.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	PE	NA	NA	PE(38:5)	38:5	NA	NA	E	OSBP	False
